t = 0.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  8.50000000e-01   1.52200625e+00  1.52200625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  8.50000000e-01   1.52200625e+00  1.52200625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  8.50000000e-01   1.52200625e+00  1.52200625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  8.50000000e-01   3.52200625e+00  3.52200625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  8.50000000e-01   3.52298281e+00  3.52200625e+00   9.76562501e-04
  5.00000000e+00   3.00000000e+00  8.50000000e-01   3.52200625e+00  3.52200625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  8.50000000e-01   5.52200625e+00  5.52200625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  8.50000000e-01   5.52200625e+00  5.52200625e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  8.50000000e-01   5.52200625e+00  5.52200625e+00   0.00000000e+00

t = 9.00000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  9.00000000e-01   1.65610000e+00  1.65610000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  9.00000000e-01   1.65610000e+00  1.65610000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  9.00000000e-01   1.65610000e+00  1.65610000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  9.00000000e-01   3.65610000e+00  3.65610000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  9.00000000e-01   3.65713906e+00  3.65610000e+00   1.03906250e-03
  5.00000000e+00   3.00000000e+00  9.00000000e-01   3.65610000e+00  3.65610000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  9.00000000e-01   5.65610000e+00  5.65610000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  9.00000000e-01   5.65610000e+00  5.65610000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  9.00000000e-01   5.65610000e+00  5.65610000e+00   0.00000000e+00

t = 9.50000000e-01
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  9.50000000e-01   1.81450625e+00  1.81450625e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  9.50000000e-01   1.81450625e+00  1.81450625e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  9.50000000e-01   1.81450625e+00  1.81450625e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  9.50000000e-01   3.81450625e+00  3.81450625e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  9.50000000e-01   3.81560781e+00  3.81450625e+00   1.10156250e-03
  5.00000000e+00   3.00000000e+00  9.50000000e-01   3.81450625e+00  3.81450625e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  9.50000000e-01   5.81450625e+00  5.81450625e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  9.50000000e-01   5.81450625e+00  5.81450625e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  9.50000000e-01   5.81450625e+00  5.81450625e+00   0.00000000e+00

t = 1.00000000e+00
       r                 z               t               u               u*              |u-u*|
  1.00000000e+00   1.00000000e+00  1.00000000e+00   2.00000000e+00  2.00000000e+00   0.00000000e+00
  3.00000000e+00   1.00000000e+00  1.00000000e+00   2.00000000e+00  2.00000000e+00   0.00000000e+00
  5.00000000e+00   1.00000000e+00  1.00000000e+00   2.00000000e+00  2.00000000e+00   0.00000000e+00
  1.00000000e+00   3.00000000e+00  1.00000000e+00   4.00000000e+00  4.00000000e+00   0.00000000e+00
  3.00000000e+00   3.00000000e+00  1.00000000e+00   4.00116406e+00  4.00000000e+00   1.16406250e-03
  5.00000000e+00   3.00000000e+00  1.00000000e+00   4.00000000e+00  4.00000000e+00   0.00000000e+00
  1.00000000e+00   5.00000000e+00  1.00000000e+00   6.00000000e+00  6.00000000e+00   0.00000000e+00
  3.00000000e+00   5.00000000e+00  1.00000000e+00   6.00000000e+00  6.00000000e+00   0.00000000e+00
  5.00000000e+00   5.00000000e+00  1.00000000e+00   6.00000000e+00  6.00000000e+00   0.00000000e+00

